DATE,CPI,Unemployment,M2_Money_Supply,GDP
2000-01-01,169.3,4.0,4667.6,10002.179
2000-02-01,170.0,4.1,4680.9,10002.179
2000-03-01,171.0,4.0,4711.7,10002.179
2000-04-01,170.9,3.8,4767.8,10247.72
2000-05-01,171.2,4.0,4755.7,10247.72
2000-06-01,172.2,4.0,4773.6,10247.72
2000-07-01,172.7,4.0,4791.3,10318.165
2000-08-01,172.7,4.1,4819.5,10318.165
2000-09-01,173.6,3.9,4855.3,10318.165
2000-10-01,173.9,3.9,4871.4,10435.744
2000-11-01,174.2,3.9,4882.8,10435.744
2000-12-01,174.6,3.9,4927.7,10435.744
2001-01-01,175.6,4.2,4978.4,10470.231
2001-02-01,176.0,4.2,5017.1,10470.231
2001-03-01,176.1,4.3,5074.9,10470.231
2001-04-01,176.4,4.4,5139.2,10599.0
2001-05-01,177.3,4.3,5137.3,10599.0
2001-06-01,177.7,4.5,5180.3,10599.0
2001-07-01,177.4,4.6,5210.2,10598.02
2001-08-01,177.4,4.9,5243.9,10598.02
2001-09-01,178.1,5.0,5355.3,10598.02
2001-10-01,177.6,5.3,5344.0,10660.465
2001-11-01,177.5,5.5,5387.7,10660.465
2001-12-01,177.4,5.7,5440.7,10660.465
2002-01-01,177.7,5.7,5461.1,10783.5
2002-02-01,178.0,5.7,5490.4,10783.5
2002-03-01,178.5,5.7,5502.2,10783.5
2002-04-01,179.3,5.9,5502.3,10887.46
2002-05-01,179.5,5.8,5528.5,10887.46
2002-06-01,179.6,5.8,5553.5,10887.46
2002-07-01,180.0,5.8,5596.2,10984.04
2002-08-01,180.5,5.7,5638.4,10984.04
2002-09-01,180.8,5.7,5662.5,10984.04
2002-10-01,181.2,5.7,5707.2,11061.433
2002-11-01,181.5,5.9,5758.2,11061.433
2002-12-01,181.8,6.0,5779.5,11061.433
2003-01-01,182.6,5.8,5812.3,11174.129
2003-02-01,183.6,5.9,5848.4,11174.129
2003-03-01,183.9,5.9,5868.6,11174.129
2003-04-01,183.2,6.0,5905.7,11312.766
2003-05-01,182.9,6.1,5965.5,11312.766
2003-06-01,183.1,6.3,6002.4,11312.766
2003-07-01,183.7,6.2,6049.4,11566.669
2003-08-01,184.5,6.1,6107.3,11566.669
2003-09-01,185.1,6.1,6079.9,11566.669
2003-10-01,184.9,6.0,6070.2,11772.234
2003-11-01,185.0,5.8,6075.7,11772.234
2003-12-01,185.5,5.7,6074.0,11772.234
2004-01-01,186.3,5.7,6082.2,11923.447
2004-02-01,186.7,5.6,6121.9,11923.447
2004-03-01,187.1,5.8,6158.0,11923.447
2004-04-01,187.4,5.6,6199.1,12112.815
2004-05-01,188.2,5.6,6275.9,12112.815
2004-06-01,188.9,5.6,6278.1,12112.815
2004-07-01,189.1,5.5,6291.3,12305.307
2004-08-01,189.2,5.4,6317.9,12305.307
2004-09-01,189.8,5.4,6352.3,12305.307
2004-10-01,190.8,5.5,6379.9,12527.214
2004-11-01,191.7,5.4,6406.5,12527.214
2004-12-01,191.7,5.4,6424.7,12527.214
2005-01-01,191.6,5.3,6431.0,12767.286
2005-02-01,192.4,5.4,6439.1,12767.286
2005-03-01,193.1,5.2,6448.4,12767.286
2005-04-01,193.7,5.2,6462.0,12922.656
2005-05-01,193.6,5.1,6479.2,12922.656
2005-06-01,193.7,5.0,6511.8,12922.656
2005-07-01,194.9,5.0,6543.7,13142.642
2005-08-01,196.1,4.9,6576.5,13142.642
2005-09-01,198.8,5.0,6610.3,13142.642
2005-10-01,199.1,5.0,6644.1,13324.204
2005-11-01,198.1,5.0,6660.8,13324.204
2005-12-01,198.1,4.9,6688.0,13324.204
2006-01-01,199.3,4.7,6730.3,13599.16
2006-02-01,199.4,4.8,6754.9,13599.16
2006-03-01,199.7,4.7,6769.5,13599.16
2006-04-01,200.7,4.7,6807.0,13753.424
2006-05-01,201.3,4.6,6813.9,13753.424
2006-06-01,201.8,4.6,6852.1,13753.424
2006-07-01,202.9,4.7,6893.9,13870.188
2006-08-01,203.8,4.7,6925.3,13870.188
2006-09-01,202.8,4.5,6952.6,13870.188
2006-10-01,201.9,4.4,7002.0,14039.56
2006-11-01,202.0,4.5,7037.5,14039.56
2006-12-01,203.1,4.4,7080.4,14039.56
2007-01-01,203.437,4.6,7118.5,14215.651
2007-02-01,204.226,4.5,7134.6,14215.651
2007-03-01,205.288,4.4,7168.5,14215.651
2007-04-01,205.904,4.5,7241.0,14402.082
2007-05-01,206.755,4.4,7254.9,14402.082
2007-06-01,207.234,4.6,7288.1,14402.082
2007-07-01,207.603,4.7,7319.0,14564.117
2007-08-01,207.667,4.6,7395.1,14564.117
2007-09-01,208.547,4.7,7413.3,14564.117
2007-10-01,209.19,4.7,7428.4,14715.058
2007-11-01,210.834,4.7,7453.8,14715.058
2007-12-01,211.445,5.0,7484.2,14715.058
2008-01-01,212.174,5.0,7517.8,14706.538
2008-02-01,212.687,4.9,7604.2,14706.538
2008-03-01,213.448,5.1,7670.3,14706.538
2008-04-01,213.942,5.0,7712.8,14865.701
2008-05-01,215.208,5.4,7725.5,14865.701
2008-06-01,217.463,5.6,7744.2,14865.701
2008-07-01,219.016,5.8,7791.5,14898.999
2008-08-01,218.69,6.1,7806.1,14898.999
2008-09-01,218.877,6.1,7872.7,14898.999
2008-10-01,216.995,6.5,7975.3,14608.209
2008-11-01,213.153,6.8,8027.3,14608.209
2008-12-01,211.398,7.3,8205.0,14608.209
2009-01-01,211.933,7.8,8289.4,14430.902
2009-02-01,212.705,8.3,8319.6,14430.902
2009-03-01,212.495,8.7,8386.7,14430.902
2009-04-01,212.709,9.0,8391.4,14381.236
2009-05-01,213.022,9.4,8449.5,14381.236
2009-06-01,214.79,9.5,8459.5,14381.236
2009-07-01,214.726,9.5,8463.8,14448.882
2009-08-01,215.445,9.6,8463.3,14448.882
2009-09-01,215.861,9.8,8461.8,14448.882
2009-10-01,216.509,10.0,8488.1,14651.249
2009-11-01,217.234,9.9,8517.3,14651.249
2009-12-01,217.347,9.9,8512.5,14651.249
2010-01-01,217.488,9.8,8478.0,14764.61
2010-02-01,217.281,9.8,8527.6,14764.61
2010-03-01,217.353,9.9,8523.7,14764.61
2010-04-01,217.403,9.9,8555.1,14980.193
