Price,Close,High,Low,Open,Volume,Symbol
Ticker,XLF,XLF,XLF,XLF,XLF,
Date,,,,,,
2010-01-04,9.019770622253418,9.044331406804096,8.896969582813458,8.9153896306052,92942347,Financials
2010-01-05,9.18554973602295,9.18554973602295,8.99520787260638,9.007487899816729,96770018,Financials
2010-01-06,9.203970909118652,9.240811716109967,9.111869972882621,9.179410851676556,75492798,Financials
2010-01-07,9.4004545211792,9.455714656243815,9.203971878464715,9.222391923486253,117869112,Financials
2010-01-08,9.345195770263672,9.40045663860388,9.271514852752864,9.351335786653872,111866140,Financials
2010-01-11,9.351332664489746,9.443433600421072,9.296072535427852,9.43729358608086,72747299,Financials
2010-01-12,9.216253280639648,9.320634263966774,9.154852405400275,9.277654155879022,137613736,Financials
2010-01-13,9.320634841918945,9.351334921028128,9.142572220600659,9.216253852119383,100839458,Financials
2010-01-14,9.363615036010742,9.394315836221514,9.265374061158642,9.28993412466458,70844542,Financials
2010-01-15,9.173273086547852,9.314494904220085,9.160993053850857,9.308355608699992,118059301,Financials
2010-01-19,9.289932250976562,9.296072986442871,9.08731032626273,9.136431164195763,100437782,Financials
2010-01-20,9.265373229980469,9.326774104065512,9.16713226394137,9.228533138026414,99359426,Financials
2010-01-21,9.001347541809082,9.320631866770645,8.903106599189892,9.259231007323109,310007531,Financials
2010-01-22,8.706624031066895,9.013628329642499,8.657503199129174,8.97064751159348,260932239,Financials
2010-01-25,8.755746841430664,8.866268558056708,8.66978590673723,8.829427745571934,179396215,Financials
2010-01-26,8.602245330810547,8.841708818602253,8.58996529981165,8.700487020458331,151799780,Financials
2010-01-27,8.811010360717773,8.829430412108978,8.589967581537817,8.626807684320228,254674696,Financials
2010-01-28,8.768030166625977,8.921532768692456,8.657508408470678,8.878551924781274,275452007,Financials
2010-01-29,8.706624031066895,8.946087456038677,8.682063975512092,8.829425750497137,222839929,Financials
2010-02-01,8.853987693786621,8.878547752578303,8.761886031661392,8.761886031661392,155187738,Financials
2010-02-02,8.939948081970215,8.964508862091252,8.823287079501139,8.860127168440355,135155306,Financials
2010-02-03,8.841710090637207,8.952231106355969,8.81714930427761,8.890829500871178,131388692,Financials
2010-02-04,8.461024284362793,8.77416798596826,8.454884268317851,8.761887953878379,266891017,Financials
2010-02-05,8.559259414672852,8.583819460006126,8.295236044028886,8.510138603178486,315216015,Financials
2010-02-08,8.38733959197998,8.577682166097159,8.37505956542301,8.577682166097159,132199183,Financials
2010-02-09,8.473301887512207,8.534702751188933,8.35050088098692,8.491721930366776,190172389,Financials
2010-02-10,8.540844917297363,8.63294587560275,8.430323911496568,8.485584774811137,155220729,Financials
2010-02-11,8.559259414672852,8.602239494006083,8.338216844189933,8.54083865984508,92212240,Financials
2010-02-12,8.565402030944824,8.565402030944824,8.405760953465432,8.46102107692165,125390768,Financials
2010-02-16,8.743468284606934,8.755748317228923,8.571546386242296,8.626806533041245,134800901,Financials
2010-02-17,8.774171829223633,8.811012662458639,8.731191698082926,8.811012662458639,81067751,Financials
2010-02-18,8.829428672790527,8.853989457302376,8.731187697228194,8.737327713149067,73617370,Financials
2010-02-19,8.878548622131348,8.909248698627673,8.76802690508801,8.774166920387275,72633555,Financials
2010-02-22,8.995211601257324,9.044331730459753,8.896969901195703,8.90924993349631,86110666,Financials
2010-02-23,8.829428672790527,9.01977060799432,8.798727872357803,8.95223043286471,144519031,Financials
2010-02-24,8.982929229736328,8.995209258839125,8.835566718018171,8.835566718018171,87297473,Financials
2010-02-25,8.958368301391602,8.970648330289725,8.804866498508686,8.860126628550244,130407585,Financials
2010-02-26,9.013628959655762,9.044329031245066,8.909247274595797,8.95836810996685,129857821,Financials
2010-03-01,9.038191795349121,9.06275186017055,8.982931649500905,9.044331811554478,65465319,Financials
2010-03-02,9.068891525268555,9.154853190472275,9.05661149333327,9.062751509300911,71151554,Financials
2010-03-03,9.075030326843262,9.14257048808461,9.050469547381837,9.081169620673359,69710915,Financials
2010-03-04,9.167134284973145,9.173273580824036,9.087313347313355,9.099593380672022,65092695,Financials
2010-03-05,9.345195770263672,9.363615819434271,9.203973951632257,9.216254705241067,99635663,Financials
2010-03-08,9.363615036010742,9.400455852097998,9.345194988381289,9.363615036010742,66161942,Financials
2010-03-09,9.394317626953125,9.455717797421983,9.283795878452207,9.314495963686635,110608058,Financials
2010-03-10,9.498696327209473,9.553956462996984,9.437294734677948,9.455714779940452,123834045,Financials
2010-03-11,9.57851505279541,9.58465506694026,9.461854063215132,9.47413409150483,75285990,Financials
2010-03-12,9.541679382324219,9.658340425876995,9.498699263425793,9.658340425876995,125183468,Financials
2010-03-15,9.541679382324219,9.560099433280687,9.437297651913942,9.486418508626336,86475904,Financials
2010-03-16,9.65833854675293,9.664479283372158,9.547816820860245,9.572377604852141,92828356,Financials
2010-03-17,9.77499771118164,9.805698502869921,9.701316099461026,9.713596848633228,113668817,Financials
2010-03-18,9.719744682312012,9.768865556033974,9.658343770366741,9.756585517810667,91978843,Financials
2010-03-19,9.655739784240723,9.76651345705693,9.61881498581147,9.655739784240723,110142617,Financials
2010-03-22,9.704968452453613,9.711121740006927,9.55111675689729,9.557270766921844,78909193,Financials
2010-03-23,9.784972190856934,9.791126201438471,9.674199277917953,9.72958537315179,79992227,Financials
2010-03-24,9.791130065917969,9.84036217000178,9.723434477859547,9.723434477859547,86346279,Financials
2010-03-25,9.83420181274414,10.04344028753104,9.821893794663344,9.858818571376856,150906813,Financials
2010-03-26,9.846516609191895,9.969597588169378,9.791129771292663,9.877286673318373,218970526,Financials
2010-03-29,9.858823776245117,9.932672646188793,9.797282930880135,9.90190186227055,76076908,Financials
2010-03-30,9.797281265258789,9.895746167619983,9.772664497814953,9.864975388933034,59183033,Financials
2010-03-31,9.815746307373047,9.852669660959139,9.729588684962112,9.735742697638385,72467985,Financials
2010-04-01,9.895744323730469,9.926514374212603,9.828050212669773,9.895744323730469,59488321,Financials
2010-04-05,9.994211196899414,10.006519219541943,9.926516349894118,9.951133117650567,55300582,Financials
2010-04-06,10.098832130432129,10.123448178876517,9.969596431156122,9.988059189960898,63364125,Financials
2010-04-07,10.061906814575195,10.160371718658485,10.000365978596365,10.123446928082629,91544300,Financials
2010-04-08,10.141914367675781,10.1726844386377,9.981907831258608,10.024986653077026,86447591,Financials
2010-04-09,10.1788330078125,10.203449773885389,10.117292176337298,10.1788330078125,64967625,Financials
2010-04-12,10.22191047668457,10.264988547382682,10.1972937138144,10.20960173401386,56718325,Financials
2010-04-13,10.228067398071289,10.283454227205256,10.160372545234543,10.209604640045663,85280479,Financials
2010-04-14,10.492692947387695,10.498847682222204,10.344995928204334,10.357303952930321,155369926,Financials
2010-04-15,10.449613571166992,10.535769733615606,10.418842790678205,10.517308421276613,101626682,Financials
2010-04-16,10.068058967590332,10.418841187364928,9.889591213610464,10.406533166052014,468533372,Financials
2010-04-19,10.166526794433594,10.184988830418778,9.938826183201895,9.951134207192018,319699563,Financials
2010-04-20,10.30191707611084,10.30191707611084,10.18499011103135,10.246530961191295,151176894,Financials
2010-04-21,10.240374565124512,10.40038103857848,10.123447619008719,10.308070139545709,210131946,Financials
2010-04-22,10.295761108398438,10.326531164240867,10.086522561255784,10.129600639435187,123733596,Financials
2010-04-23,10.326528549194336,10.36960661646483,10.258833721012365,10.314220529974195,109054906,Financials
2010-04-26,10.166526794433594,10.32037853925308,10.141910746453346,10.32037853925308,128910443,Financials
2010-04-27,9.821898460388184,10.166526742715854,9.79728241253316,10.055753082425312,289883143,Financials
2010-04-28,9.963438987731934,10.031133820112032,9.871128115384975,9.957285700211456,194917032,Financials
2010-04-29,10.191140174865723,10.246526264397438,10.043441768700784,10.092674570755763,153177515,Financials
2010-04-30,9.944978713989258,10.172679291307174,9.92651595828245,10.141909235914765,206146707,Financials
2010-05-03,10.135758399963379,10.16037517621479,10.000369381703004,10.031139448927716,110817944,Financials
2010-05-04,9.858823776245117,10.018829540711167,9.797282930880135,9.988059479264429,195182313,Financials
2010-05-05,9.803434371948242,9.969594105123662,9.661890681473976,9.698815467997022,227201362,Financials
2010-05-06,9.39111328125,9.871130511973421,8.960327419941828,9.76035686028561,385070710,Financials
2010-05-07,9.286493301391602,9.563426698010794,9.15110360871238,9.397266226556448,434082852,Financials
2010-05-10,9.803434371948242,9.858821190497155,9.64342864944811,9.766510307896512,220172844,Financials
2010-05-11,9.766509056091309,9.926514035611767,9.649581423305191,9.6557354331917,149938016,Financials
2010-05-12,9.877284049987793,9.883438061178632,9.748048370037445,9.82805196046109,108045855,Financials
2010-05-13,9.698816299438477,9.871130058060967,9.698816299438477,9.846514013249577,117497842,Financials
2010-05-14,9.446496963500977,9.594194646249115,9.348032082492628,9.588040636340544,185612150,Financials
2010-05-17,9.452655792236328,9.532659406774876,9.224955142127063,9.44650177919053,215164644,Financials
2010-05-18,9.181873321533203,9.569579628813612,9.114178477725975,9.563426340254436,245298293,Financials
2010-05-19,9.194180488586426,9.286492090402678,9.009558729896503,9.09571632125451,282446426,Financials
2010-05-20,8.769554138183594,9.052640169475575,8.75109137747189,9.021870105742003,264759910,Financials
2010-05-21,9.077256202697754,9.194183157821675,8.584930165808114,8.584930165808114,256736868,Financials
2010-05-24,8.818782806396484,9.120332950633252,8.806474784687094,9.120332950633252,132667948,Financials
2010-05-25,8.898788452148438,8.904942464427531,8.517236078487175,8.572622188999008,202843441,Financials
2010-05-26,8.837242126464844,9.058788598534509,8.788009336292344,9.04032585067541,153920670,Financials
2010-05-27,9.237261772155762,9.243415061318727,8.978790393625449,9.028023209172039,150171413,Financials
2010-05-28,9.03417682647705,9.218798612393277,9.003406769648146,9.212644601027495,156946837,Financials
2010-06-01,8.843401908874512,9.064948525594215,8.831093883913116,8.935712818556505,102271849,Financials
2010-06-02,9.120332717895508,9.120332717895508,8.849553357313454,8.93571022955193,97060780,Financials
2010-06-03,9.071100234985352,9.175719865538069,8.972635337822215,9.157257832783358,126116689,Financials
2010-06-04,8.70801067352295,8.935710521723914,8.664931152288156,8.886478434532936,146914680,Financials
2010-06-07,8.535696983337402,8.788013620732984,8.504926926022602,8.744935540492266,128171597,Financials
2010-06-08,8.714163780212402,8.720318513454258,8.431076394882822,8.584928109088668,180966602,Financials
2010-06-09,8.621851921081543,8.843398451178373,8.584927138163115,8.775703617887293,153438734,Financials
2010-06-10,8.904940605163574,8.923402638146161,8.689548052952665,8.751088885365975,138725329,Financials
2010-06-11,8.929556846618652,8.960326902270113,8.794167156809479,8.81878320133065,66406172,Financials
2010-06-14,8.892633438110352,9.04648517269921,8.880324692467246,9.003407091598326,111620925,Financials
2010-06-15,9.101871490478516,9.12033424814055,8.892633646708905,8.948019752280686,124529437,Financials
2010-06-16,9.108024597167969,9.157257404683586,9.009558982136733,9.046483768391274,76874719,Financials
